Date,News_Title,Sentiment_Reasoning,Sentiment
2025-10-13,2 Vanguard ETFs to Buy With $100 and Hold Forever,"Offers comprehensive U.S. market coverage, tracks benchmark closely, and has extremely low expense ratio of 0.03%",1
2025-10-12,Want $1 Million in Retirement? 2 Simple Index Funds to Buy and Hold for Decades.,"Offers broad market diversification, low expense ratio (0.03%), and historical average annual return of 9.2%, making it an attractive long-term investment option",1
2025-10-12,How to Turn $100000 Into $1 Million for Retirement: 3 Smart Investment Strategies,"Recommended for broader market coverage, including small and medium-sized stocks not in S&P 500",1
2025-10-08,Wedmont Buys $36 Million in Palantir Stock as AI Boom Accelerates,Mentioned as a top holding in Wedmont's portfolio with $130.8 million allocation,0
2025-10-07,Is the Vanguard Total Stock Market ETF a Millionaire-Maker?,"Demonstrates consistent long-term returns, broad market exposure, and potential for wealth generation",1
2025-09-04,If You'd Invested $1000 in the Vanguard Total Stock Market ETF (VTI) 10 Years Ago Here's How Much You'd Have Today,Delivered strong 14.5% annual returns over 10 years,1
2025-07-26,How Investing Just $10 a Day Could Make You a Millionaire by Retirement,"Generated approximately 9% annualized returns since 2001, offers diversified exposure to over 3,500 U.S. companies, and has a low $1 minimum investment",1
2025-07-15,No Losers Yet: Broad ETF Gains in 2025 Defy Hawkish Macro Concerns,"Relatively modest 6.9% year-to-date return, underperforming international markets",0
2025-07-10,1 Spectacular Vanguard ETF That Could Turn $1000 Per Month Into $500000 in Under 20 Years,"Offers broad market exposure, consistent returns, potential for long-term wealth building with 8.9-12.9% historical annual returns",1
2025-07-01,I'm Facing a Layoff -- Should I Invest Half My Severance Pay of $110000 in an ETF?,Suggested as a potential investment option for diversified stock market exposure,1
2025-06-21,VTI Is a Great Choice for Most but I Like EQAL ETF Even Better,"The article acknowledges that the Vanguard Total Stock Market ETF is a low-cost, set-it-and-forget-it investment vehicle that is likely to deliver strong performance over long periods of time. However, the author's main concern is that it is a weighted index fund, meaning that larger companies make up a proportionally larger share of its holdings, and the stock market has become increasingly top-heavy in recent years.",0
2025-06-02,US Bonds Break Winning Streak as Equities Dominate May Performance,"The Global Market Index (VTI) rallied 6.3%, marking the best monthly advance for US stocks since November 2023.",1
