Date,News_Title,Sentiment_Reasoning,Sentiment
2026-03-18,How Coca-Cola and McDonald’s Are Crushing the S&P 500,"Solid year-to-date gains of 8.31%, 25+ year dividend aristocrat streak, exceptional 5.7% comparable sales growth beating estimates by nearly 200 basis points, 210 million loyalty program users with 19% growth, and strong positioning in value-conscious consumer environment.",1
2026-03-11,Gallagher Fiduciary Buys $40 Million of Vanguard Long-Term Corporate Bond ETF,"Gallagher reduced its position in McDonald's, which was one of its top holdings. The reduction appears to be part of portfolio rebalancing rather than a negative outlook on the company itself.",0
2026-03-09,Chipotle Stock: Down More Than 40% From Its 52-Week High Is It Time to Buy?,"McDonald's is successfully gaining market share through aggressive value pricing strategies like $5 Meal Deals, capturing a larger portion of consumer spending during economic pressures. The company is outperforming in the current market environment while competitors like Chipotle struggle with traffic declines.",1
2026-03-09,3 Surprising Stocks That Hit Fresh Highs Last Week,"Hit fresh all-time high, achieved record 27% net margin in 2025, strong quarterly comparisons, and on track to become a Dividend King with 50 consecutive years of dividend increases. Demonstrates strong financial performance despite CEO viral video distraction.",1
2026-03-05,Fast Food and Quick Service Restaurant Report 2026-2035: A $450+ Billion Market by 2030 with McDonald's Burger King Chipotle Subway Starbucks Leading,Listed as a leading company in the growing QSR market with strong market position and benefiting from industry-wide growth trends in digital innovation and franchise expansion.,1
2026-03-05,Capgemini et McDonald’s renouvellent leur partenariat stratégique avec un accord mondial pluriannuel axé sur le déploiement de plateformes modernes et évolutives,"McDonald's is advancing its digital transformation strategy with a trusted partner, positioning itself to achieve ambitious goals (250M loyalty users, $45B in sales by 2027). The renewal demonstrates confidence in their modernization strategy and commitment to leveraging AI and cloud technologies for growth.",1
2026-03-05,Capgemini and McDonald's renew their strategic partnership with a global multi-year agreement focused on delivering modern scalable platforms,"McDonald's is advancing its digital transformation strategy with a trusted technology partner, positioning itself to achieve ambitious loyalty program targets (250 million users) and revenue goals ($45 billion by 2027). The modernization efforts should enhance operational efficiency and customer experience.",1
2026-03-04,China's Franchising Boom Cooks Up New Giants Leaves Mid-Tier Western Chains Behind,Surpassed as world's largest chain by Mixue; maintains significant presence but faces competitive pressure from aggressive domestic competitors,0
2026-02-26,2 Tariff-Proof Restaurant Stocks to Buy Now,"Massive scale provides tariff mitigation, local sourcing strategy reduces tariff exposure, franchise-heavy model insulates from direct costs, thriving in value-focused consumer environment with 5.7% comps growth (6.8% in U.S.), successful promotional campaigns, and strong 2026 start.",1
2026-02-24,Billionaire Investor Bets On Chipotle While Stock Trades Near 52-Week Low,"Outperforming Chipotle year-to-date with 12.54% growth, demonstrating stronger market performance in the restaurant sector.",1
2026-02-21,McDonald's $120B Real Estate Portfolio Paves the Way to Its 50th Consecutive Dividend Hike,"Strong Q4 results with 5.7% same-store sales growth, successful affordability initiatives reversing traffic trends, substantial $120B real estate asset base providing stable cash flow, 49-year dividend streak approaching Dividend King status, and $7.2B free cash flow supporting shareholder returns.",1
2026-02-18,McDonald’s Navigates 2026 Between Stability and Selective Growth,"Strong Q4 earnings beat on both revenue and EPS, with 5.7% global comparable sales growth and 6.8% U.S. growth. The company's asset-light franchise model, digital expansion, and pricing power support stable cash flows and dividend payments. However, sentiment is tempered by moderate growth outlook due to consumer spending pressures and operational headwinds in 2026.",1
2026-02-17,Restaurant Stocks See Traffic-Driven Rotation as Dining Patterns Shift,Recently hit three-year high after implementing price resets and heavy discounts; rebounding as fast-food chains recognize pricing power limits and adjust strategy to remain competitive.,1
