Date,News_Title,Sentiment_Reasoning,Sentiment
2026-03-18,Bill Gates Has Nearly 30% of His $35 Billion Portfolio in 1 Stock and It's Not Microsoft,"Large position in Gates Foundation portfolio is driven by Buffett's charitable contributions rather than investment merit. Foundation actively sells shares to fund operations, indicating it's a funding vehicle rather than a core conviction holding.",0.0
2026-03-18,Why Your S&P 500 ETF Could Rapidly Include SpaceX,"The article mentions SpaceX could knock Berkshire Hathaway out of the top 10 companies by market cap, but this is a relative ranking change with no fundamental business implications.",0.0
2026-03-16,Greg Abel Is Buying Warren Buffett's Favorite Stock -- but He's Unlikely to End the 13-Quarter Net Selling Streak of Berkshire's Former Boss,"While Abel has resumed buybacks of Berkshire's own stock (positive signal), the article suggests he is unlikely to be a net buyer of other equities due to expensive market valuations. The company has substantial cash but limited investment opportunities at reasonable valuations, indicating a cautious stance rather than bullish positioning.",0.0
2026-03-15,2 No-Brainer Warren Buffett Stocks to Buy Right Now,Mentioned as the holding company whose portfolio is being analyzed; the article focuses on its individual stock holdings rather than evaluating Berkshire Hathaway itself as an investment.,0.0
2026-03-15,The Best Warren Buffett Stocks to Buy With $1000 Right Now,"Mentioned as the holding company with a $310 billion portfolio containing the recommended stocks. No specific sentiment expressed about Berkshire itself, serving primarily as context for the investment selections.",0.0
2026-03-15,Where Will Coca-Cola Stock Be in 5 Years?,"Mentioned as holding a large position in Coca-Cola, with Warren Buffett's preference for holding quality businesses forever, implying confidence in Coca-Cola's long-term durability and value.",1.0
2026-03-14,"Why This Greg Abel ""No Bold Moves"" Backlash Could Be a Gift for Patient Investors","The article presents a balanced perspective on Berkshire Hathaway under Greg Abel's leadership. While acknowledging recent criticism and a 5% share drop, it defends the company's patient, fundamentals-focused approach rather than condemning or praising it, suggesting investors should look past short-term volatility.",0.0
2026-03-14,ITOT vs. VTV: Is Broad Market Exposure or Value Stock Stability the Better Buy for Investors?,Berkshire Hathaway is mentioned only as a top holding in VTV's portfolio without specific commentary on the company itself.,0.0
2026-03-14,You Won't Believe How Much Money Berkshire Hathaway Gets From Moody's Dividends,"The article highlights Berkshire's exceptional returns from its Moody's investment, with a 4,400% appreciation and substantial annual dividend income of $93 million, demonstrating successful long-term value investing strategy.",1.0
2026-03-14,You Won't Believe How Much Money Berkshire Hathaway Gets From Coca-Cola Dividends,"Berkshire Hathaway's strategic long-term investment in Coca-Cola has generated substantial returns, with the position now worth $31 billion and generating $848 million in annual dividends. The investment exemplifies successful value investing and patient capital deployment.",1.0
2026-03-14,3 No-Brainer Warren Buffett Stocks to Buy Right Now,"New CEO Greg Abel has committed to maintaining Berkshire's decentralized structure and not making significant changes to key holdings, suggesting stability but limited near-term catalysts.",0.0
2026-03-13,Jobs Data Just Shook the Market. Here's How Smart Investors Should Respond,Mentioned in context of Apple dividend holdings; no direct sentiment implied about current market conditions,0.0
2026-03-13,Warren Buffett Wrapped Up His Illustrious Investing Career by Selling 50% of His Bank of America Stake and Piling Around $1.2 Billion Into This Scorching-Hot Oil Stock,"Buffett's retirement marks a transition in leadership to Greg Abel. While the company was a net seller of equities for 13 consecutive quarters, the strategic Chevron investment suggests continued disciplined capital allocation.",0.0
