Date,News_Title,Sentiment_Reasoning,Sentiment
2026-03-17,Licensing Expo 2026 Keynote to Spotlight Food & Beverage as the Ultimate Brand Extension Goldmine,"Listed among hundreds of brands signed on to attend Licensing Expo 2026, indicating participation but with no specific announcements or strategic initiatives highlighted.",0
2026-03-16,2 Dividend ETFs to Buy and Hold for the Long Haul,"Recognized as a Dividend King with 50+ years of consecutive dividend increases, representing 3.88% of SCHD holdings.",1
2026-03-14,Want Decades of Passive Income? Buy This Index Fund and Hold It Forever,Top holding in SCHD with blue-chip status and strong dividend history; consumer staples sector provides stability and protection against tech-driven market volatility.,1
2026-03-14,Here Are My Top 3 High-Yield Dividend Stocks to Buy Now,"Referenced as a competitor adapting to consumer health trends through mini meals; mentioned for context on packaged food industry dynamics, not as a recommendation.",0
2026-03-11,Licensing Expo Event Planner Goes Live: Start Securing Meetings Today,"Named as a major exhibitor, demonstrating commitment to licensing and brand collaboration initiatives.",1
2026-03-11,You Need to Know the Bull and Bear Case for This Monster Stock That Turned a $1000 Investment Into $64000 in 10 Years,"Mentioned as a distribution partner providing positive support for Celsius and Alani Nu's growth, but PepsiCo itself is not the focus of analysis and no specific sentiment is expressed about the company.",0
2026-03-06,Jobs Crash War Flares: Smart Money Hides In These Stocks,Highlighted as consumer staples leader with resilient demand and strong brands during economic uncertainty,1
2026-03-04,Response to attacks against Carbios and its executives,Mentioned as a member of Carbios' packaging consortium but no specific news or developments related to this company are discussed in the article.,0
2026-03-03,Is It Time to Buy Celsius Stock as Alani Nu Reinvigorates Growth?,"Mentioned as the distributor partner for Alani Nu's transition, but no direct impact on PepsiCo's business or valuation is discussed in the article.",0
2026-02-28,The Schwab U.S. Dividend Equity ETF Has Delivered a 12.9% Annualized Return. These 2 Top Holdings Showcase the Power of its Investment Strategy.,"PepsiCo shows strong dividend growth with 54 consecutive years of increases, 10.4% annualized returns since 1990, and solid long-term targets for mid-single-digit revenue growth and high-single-digit EPS growth.",1
2026-02-26,2 Consumer Dividend Stocks to Buy for High-Yield Dividend Growth,"Recommended as a Dividend King with 50+ years of consecutive dividend increases, 3.3% yield (3x S&P 500), and 7% average annual dividend growth. Strong competitive positions in beverages and snacks support long-term dividend sustainability despite current business headwinds.",1
2026-02-25,Keurig Dr Pepper’s Split Plan Could Unlock Hidden Value,"Mentioned as a peer comparison point, trading at higher multiples (15X-40X earnings) than KDP, but no specific news or analysis provided about the company itself.",0
2026-02-23,Brand Power Under Pressure: Pepsi vs Coca-Cola Pricing War,"PepsiCo is implementing selective price cuts of up to 15% on snack products due to consumer resistance, indicating volume slippage and margin pressure. The integrated food-and-beverage structure creates complexity managing margins across different demand curves, and snacks are experiencing more heat than beverages in the current environment.",-1
2026-02-19,The World's Most Influential Brand Gathering Returns to Vegas this May,"Noted as a new entrant to Licensing Expo, expanding its presence in brand licensing and consumer product collaborations.",1
2026-02-15,XLP vs. FTXG: The Clash of Consumer Staple ETFs,Mentioned as a top holding in FTXG portfolio. No specific sentiment expressed; included as part of the fund's composition.,0
2026-02-13,Three No-Brainer Dividend Stocks to Buy Right Now,"53-year dividend growth streak with no anticipated interruption, 3.38% yield, 68% EPS surge in Q4 2025 showing momentum, and 2025 payout ratio inflated by $1.65B acquisition (expected to normalize to historical 70-75% range in 2026).",1
2026-02-13,2 Dividend Stocks to Buy in February and Hold for the Long Term,"Strong brand portfolio, 60-year dividend payment streak, consistent revenue growth (31% over 5 years), robust free cash flow ($7.6B trailing-12-month), improved Q4 earnings up 11% YoY, announced 4% dividend increase for 2026, and analyst forecasts of 6% annualized earnings growth support 3.52% forward yield.",1
2026-02-11,I Predicted This ETF Was a Buy for Passive Income and It's Already Up 13% in 2026. Is There More Room to Run?,Dividend King in consumer staples sector benefiting from sector rotation and reliable dividend growth.,1
2026-02-11,I Predicted That PepsiCo's Dividend Yield Peaked at 4.4% Because the Dividend King Stock Was Too Cheap to Ignore. Here's Why Pepsi Is Already Up 19% in 2026 and Could Still Be a Buy Now.,"Strong Q4 earnings with faster sales growth and double-digit EPS growth, 53rd consecutive dividend increase, $10 billion buyback program, successful international expansion, strategic acquisitions in health-conscious categories (Siete Foods, Poppi, Sabra, Obela), and attractive valuation at 19.8x forward earnings despite 18.8% YTD rally.",1
2026-02-05,Pepsi Pops as Investors Take Notice of Key Strategic Initiatives,"Strong Q4 2025 earnings beat (revenue +5.6% vs 4% expected, EPS +15% YOY vs 14% expected), successful implementation of strategic initiatives with positive margin expansion (140 basis points), successful health-focused product launches (Poppi +45% growth), maintained 2026 guidance, 54-year dividend increase streak, and analyst price target increases post-earnings. Company is executing well on activist investor recommendations while maintaining operational independence.",1
2026-02-04,PepsiCo Declares Quarterly Dividend,"PepsiCo demonstrated strong shareholder commitment through a 5% increase in quarterly dividend and a 4% increase in annualized dividend. The company's 54th consecutive annual dividend increase reflects financial stability, profitability, and confidence in future cash flows. This consistent dividend growth is a positive signal for investors seeking reliable income and indicates management's confidence in the company's financial health.",1
2026-02-04,What This Company's Latest Move Signals for Long-Term Investors,"Highlighted as an established, larger consumer staples company with competitive advantages in both beverages and food products, making it a better investment choice than Beyond Meat.",1
2026-02-04,Sustainability Magazine Names the Top 250 Leaders Driving Climate ESG and Net Zero Action in 2026,"Jim Andrew, Chief Sustainability Officer at PepsiCo, ranked in the Top 10, indicating strong corporate sustainability leadership and commitment.",1
2026-02-03,Stock Market Today Feb. 3: Nasdaq Tumbles 1.4% as AI Fears Grow,Stock gained 4.93% after beating earnings expectations,1
2026-02-03,Stock Market Today: Dow Futures Pare Losses S&P 500 Gain Amid Gold Silver Rebound— Palantir Technologies SanDisk PepsiCo In Focus (UPDATED),Stock down 0.52% despite beating revenue expectations ($29.34B vs. $28.97B expected) and slightly exceeding EPS estimates ($2.26 vs. $2.24). Maintains stronger price trend but has poor value ranking.,0
2026-02-01,Why I Can't Stop Buying These 3 High-Yielding Dividend Stocks,"Company has 53 consecutive years of dividend increases (Dividend King status), 3.8% yield, recent 5% dividend raise, strong brand portfolio, and strategic growth investments in Poppi and Celsius partnership to support future dividend growth.",1
2026-01-31,My 2 Favorite Stocks to Buy Right Now,"Mentioned as competitor to Coca-Cola with 2% lower case shipments despite slower price increases, indicating weaker performance relative to Coca-Cola in the same period.",0
2026-01-23,Coca-Cola vs. PepsiCo: What's the Better Long-Term Play?,"Acknowledged as a legitimate competitor with a diversified portfolio including snacks and food, and having passed the longevity test. However, it is less favored than Coca-Cola due to its capital-intensive distribution model and lower profitability relative to revenue.",0
2026-01-18,I Correctly Predicted the Rebound for Celsius Stock in 2025. Here's Why I Believe the Party Can Continue in 2026.,Mentioned as Celsius' largest distributor responsible for the temporary inventory fluctuation in 2024. Now providing expanded distribution for Alani Nu brand. Role is operational/logistical rather than investment-relevant.,0
2026-01-15,Have $500? 2 Absurdly Cheap Stocks Long-Term Investors Should Buy Right Now,"Down 25% from 2023 highs with a historically high 4% yield and 50+ year Dividend King status. Despite current operational challenges, the company has strong fundamentals, leading market position, and is making strategic long-term improvements with activist investor involvement.",1
2026-01-14,Top Stocks to Double Up on Right Now,"Despite lagging behind Coca-Cola, it's a well-run Dividend King with historically high 4% dividend yield and strategic acquisitions to align with consumer tastes; attractive for value investors",1
2026-01-14,Coke Hits Reset Henrique Braun To Take Over As CEO,Mentioned as a comparable competitor with no direct impact from Coca-Cola's announcement. No specific news or sentiment drivers related to PepsiCo in this article.,0
2026-01-09,3 High Dividend Stocks for Long-Term Income,"Extended 53-year dividend growth streak with 5.0% increase announced, beat revenue estimates, and demonstrated recession-resistant business model with strong competitive advantages. Pricing power and diversified portfolio of 20+ billion-dollar brands provide stability.",1
2026-01-09,1 Dividend King Stock I'd Buy Before Illinois Tool Works in 2026,Stock is trading at a significant discount (16.2x forward P/E vs 10-year median of 26.3x) with an attractive 4.1% dividend yield. Growth challenges are viewed as solvable through product diversification and operational improvements. Activist investor Elliott's $4 billion stake provides additional catalyst for value creation.,1
2026-01-08,Meet the Dividend King Down 28% in 2025 That Has a Lower Payout Ratio and a Higher Yield Than Coca-Cola and PepsiCo,"PepsiCo is noted as a reliable dividend stock with 53 consecutive years of increases and diversified brand portfolio, but it has a concerning payout ratio exceeding 100% and a lower yield (4.1%) than Target. The article suggests it may be less attractive than Target on a dividend basis.",0
2026-01-07,3 Dividend Stocks to Double Up On Right Now,"While diversified across beverages, snacks, and packaged foods, PepsiCo's organic sales growth (1.3%) significantly lags Coca-Cola, making it less attractive than its peer despite the author's personal position.",0
2025-12-27,2 No-Brainer Dividend Stocks to Buy Right Now,"Significantly undervalued with dividend yield near historical highs and P/S, P/B ratios below five-year averages. Despite current weakness (1.3% organic sales growth), company has strong historical track record and multiple catalysts including brand acquisitions and potential bottling outsourcing. Attractive for risk-tolerant investors.",1
2025-12-22,3 Dividend Growth Stocks Analysts Are Upgrading for 2026,Analysts tracking 15 Q4 revisions with multiple price target increases and upgrades. Stock trading near low end of historic P/E range with 3.75% dividend yield. Consensus forecasts 5% upside with potential 50% upside based on 2030 earnings multiples. Technical uptrend line support indicates steadily increasing price action expected in 2026.,1
2025-12-18,Inflation Cooled Off More Than Expected in November. Here's What It Means for Investors,Proactively lowering prices to accelerate organic revenue growth in response to market conditions,0
2025-12-15,JPMorgan Chase Just Recommended Buying PepsiCo in 2026. Here Are the Tailwinds Buoying the Stock.,"Company is proactively reducing low-growth brands, engaging constructively with activist investors, refreshing value proposition, and targeting 2-4% organic sales growth in 2026",1
2025-12-15,Should Passive-Income Investors Buy PepsiCo Stock Before 2026?,"The article portrays PepsiCo positively as an attractive dividend stock with consistent dividend payments, making it appealing for passive-income investors seeking stable returns.",1
2025-12-15,Is This 53-Year-Dividend-Streak Stock Due for a 20% Breakout?,"Currently experiencing business headwinds with low organic revenue growth, but has potential for improvement through strategic changes and activist investor collaboration",0
2025-12-15,Can Beyond Meat (BYND) Recover in 2026?,"Mentioned in context of a failed joint venture with Beyond Meat, but no direct negative impact on PepsiCo's performance",0
2025-12-11,Coca-Cola vs. PepsiCo: Which Is the Better Income Stock?,"Demonstrated superior dividend growth (49% vs 24.4% inflation), lower dividend payout ratio, higher cash flow from operating activities, and higher current dividend yield",1
2025-12-11,Coca-Cola Hands CEO Role To 30-Year Veteran Henrique Braun As James Quincey Steps Aside,"Mentioned in comparison, stock slightly down 0.34% this year, no significant positive or negative developments highlighted",0
2025-12-09,PepsiCo To Drop 20% Of Products Embrace Cleaner Ingredients And Aggressive Cost-Cuts In Major Elliott-Driven Revamp,"The company is proactively restructuring its product portfolio and innovation strategy to improve growth and profitability, but the changes suggest current performance challenges",0
2025-12-06,3 Dividend Stocks to Double Up on Right Now,"Dividend King with over 50 years of consecutive dividend increases, leading consumer staples brand, currently experiencing temporary challenges but with strong long-term potential",1
2025-12-05,HEINEKEN appoints new regional President Americas,Losing a key executive but recognized for successful business performance under his leadership,0
2025-12-01,Augmented Reality in Packaging Market Size Trends Segments Companies Competitive Analysis Value Chain & Trade Analysis 2025-2035,Utilizing AR on beverage packaging for event-specific games and promotional campaigns,1
2025-12-01,If I Could Only Buy and Hold a Single Stock Today This Would Be It,"Offers a high dividend yield near historical levels, has a diversified business across beverages and snacks, and appears undervalued compared to historical metrics",1
2025-11-30,Costco Is on Track for Its Worst Performance Relative to the S&P 500 in 23 Years. Is The Blue-Chip Dividend Stock a No-Brainer Buy for 2026?,"Recommended as a better alternative with consistent dividend growth, 3.9% yield, and strong brand portfolio",1
2025-11-28,Single-Use Plastic Water Bottles Market Growth Trends Key Segments and Regional Dynamics,"Extensive bottled water operations with global presence, but facing increasing sustainability pressures",0
2025-11-27,The Smartest Dividend Stocks to Buy With $3000 Right Now,"Despite current challenges with snack product lines, the company is innovating with healthier product options and maintains a strong 3.9% dividend yield",1
2025-11-23,What to Know Before Buying Celsius Stock,Mentioned as a potential distribution partner to help Celsius expand globally,1
2025-11-21,Why Coca-Cola's Business Model Still Wins After 100 Years,"Mentioned briefly as a major competitor in the beverage industry, with no specific performance details provided",0
2025-11-19,3 Stocks That Could Create Lasting Generational Wealth,"Higher dividend yield (3.9%), diversified business model with snack and beverage portfolio, more control over production facilities",1
2025-11-19,Don't Give Up on Dividend Stocks. 5 Dividend Kings Down Between 5% and 33% to Buy in November,"Adapting to changing consumer preferences through strategic acquisitions and portfolio transformation, but facing challenges in snack and beverage demand",0
2025-11-15,1 Growth Stock Down 30% to Buy Right Now,"Mentioned as a distribution partner for Celsius, selling Rockstar brand to Celsius",0
2025-11-11,Tesla's First Semi Vehicle Customer After Full Production Launch Is….Tesla?,"Already operating Semi trucks in a pilot program, showing early adoption interest",0
2025-11-11,November Technology Portfolio Launches With Insights From Apple PepsiCo Vodafone and Johnson Controls,"Highlighted for digital platforms, software, applied AI, and global scale strategies, indicating proactive technological advancement",1
2025-11-11,2 Dividend Stocks to Double Up on Right Now,"Facing challenges with product nutrition and food inflation, but maintaining dividend king status, working on cost-cutting through AI, and having significant liquidity to sustain dividend payments",0
2025-11-10,The Best Dividend Stocks to Buy and Hold Forever,"Higher forward dividend yield compared to Coca-Cola, owns bottling and distribution channels, diversified with Frito-Lay, and well-positioned for competitive beverage market",1
2025-11-06,November Procurement & Supply Chain Portfolio Launches With Exclusive Insights From Target Estée Lauder PepsiCo and More,"Discussed digital platforms, software, applied AI, and global scale initiatives",1
2025-11-03,Warren Buffett's Investing Rules -- Simplified for New Stock Investors,Highlighted as a Dividend King with attractive valuation metrics and a high dividend yield,1
2025-11-02,2 Undervalued High-Quality Companies to Buy Now and Hold Forever,"More diversified business with lower current performance, but higher dividend yield and lower valuation metrics. Considered a potentially better investment for aggressive long-term investors willing to tolerate short-term volatility.",1
2025-10-30,5 Dividend Stocks to Hold for the Next 10 Years,"Dominant food and beverage company with strong brand portfolio, 52-year dividend increase streak, and potential for steady global growth",1
2025-10-28,Reusable Packaging Market Growth Key Segments and Regional Dynamics with Manufacturers and Suppliers Data,"Partnered with Bold Reuse to introduce reusable cups at Levi's Stadium, showing commitment to reducing single-use plastic waste",1
2025-10-28,Keurig Dr Pepper in the Buy Zone: It’s Time to Build a Position,Mentioned as a comparative benchmark with higher valuation metrics,0
2025-10-28,Want Decades of Passive Income? Buy This Index Fund and Hold It Forever.,"Mentioned as a stable, large-cap dividend stock in the ETF's top holdings",1
